time,flow,temp,salt
1996-01-01,0.111,0.1,0
1996-01-02,0.106,0.6932291667,0
1996-01-03,0.089,0.6765625,0
1996-01-04,0.063,0.1,0
1996-01-05,0.063,0.1,0
1996-01-06,0.063,0.1,0
1996-01-07,0.063,0.5213541667,0
1996-01-08,0.075,2.2526041667,0
1996-01-09,0.063,4.4682291667,0
1996-01-10,0.075,4.7911458333,0
1996-01-11,0.075,5.6260416667,0
1996-01-12,0.063,6.2640625,0
1996-01-13,0.063,5.678125,0
1996-01-14,0.063,5.0947916667,0
1996-01-15,0.054,3.3864583333,0
1996-01-16,0.054,1.5270833333,0
1996-01-17,0.054,0.5432291667,0
1996-01-18,0.054,0.1,0
1996-01-19,0.05,0.1,0
1996-01-20,0.049,0.1,0
1996-01-21,0.049,0.1,0
1996-01-22,0.049,0.1,0
1996-01-23,0.049,0.1,0
1996-01-24,0.049,0.1,0
1996-01-25,0.044,0.1,0
1996-01-26,0.039,0.1,0
1996-01-27,0.049,0.1,0
1996-01-28,0.044,0.1,0
1996-01-29,0.044,0.1,0
1996-01-30,0.039,0.1,0
1996-01-31,0.044,0.1,0
1996-02-01,0.044,0.1,0
1996-02-02,0.039,0.1,0
1996-02-03,0.039,0.1,0
1996-02-04,0.039,0.1,0
1996-02-05,0.039,0.1,0
1996-02-06,0.039,0.1,0
1996-02-07,0.054,0.1,0
1996-02-08,0.039,0.1,0
1996-02-09,0.044,0.1,0
1996-02-10,0.033,0.3020833333,0
1996-02-11,0.033,2.1338541667,0
1996-02-12,0.095,2.709375,0
1996-02-13,0.224,2.4604166667,0
1996-02-14,0.158,1.3817708333,0
1996-02-15,0.089,1.3864583333,0
1996-02-16,0.063,2.2536458333,0
1996-02-17,0.718,2.9515625,0
1996-02-18,0.508,3.6041666667,0
1996-02-19,1.033,2.5411458333,0
1996-02-20,0.704,0.2302083333,0
1996-02-21,0.412,0.1,0
1996-02-22,0.259,0.1,0
1996-02-23,0.188,0.1,0
1996-02-24,0.159,0.1,0
1996-02-25,0.132,3.1239583333,0
1996-02-26,0.366,5.3869791667,0
1996-02-27,0.742,6.509375,0
1996-02-28,0.436,4.9734375,0
1996-02-29,0.268,3.0557291667,0
1996-03-01,0.205,1.3911458333,0
1996-03-02,0.173,0.4302083333,0
1996-03-03,0.146,0.1,0
1996-03-04,0.132,0.4296875,0
1996-03-05,0.119,1.275,0
1996-03-06,0.104,1.8932291667,0
1996-03-07,0.104,3.0625,0
1996-03-08,0.089,3.1989583333,0
1996-03-09,0.075,3.2895833333,0
1996-03-10,0.075,1.8572916667,0
1996-03-11,0.063,0.1223958333,0
1996-03-12,0.063,0.1,0
1996-03-13,0.063,0.1,0
1996-03-14,0.063,0.4109375,0
1996-03-15,0.063,2.709375,0
1996-03-16,0.054,4.6208333333,0
1996-03-17,0.054,5.7604166667,0
1996-03-18,0.049,6.11875,0
1996-03-19,0.049,6.8880208333,0
1996-03-20,0.049,7.6322916667,0
1996-03-21,0.049,8.0411458333,0
1996-03-22,0.054,8.6317708333,0
1996-03-23,0.049,8.7083333333,0
1996-03-24,0.049,8.7614583333,0
1996-03-25,0.049,8.3838541667,0
1996-03-26,0.044,6.5369791667,0
1996-03-27,0.044,4.7260416667,0
1996-03-28,0.044,3.1145833333,0
1996-03-29,0.044,1.8854166667,0
1996-03-30,0.049,1.5380208333,0
1996-03-31,0.049,1.2703125,0
1996-04-01,0.049,0.7109375,0
1996-04-02,0.049,0.9182291667,0
1996-04-03,0.049,1.9192708333,0
1996-04-04,0.049,3.4140625,0
1996-04-05,0.044,5.9151041667,0
1996-04-06,0.049,8.2395833333,0
1996-04-07,0.049,8.75,0
1996-04-08,0.049,9.41875,0
1996-04-09,0.044,9.7588541667,0
1996-04-10,0.044,9.1109375,0
1996-04-11,0.044,8.7802083333,0
1996-04-12,0.049,7.6125,0
1996-04-13,0.044,6.2505208333,0
1996-04-14,0.044,5.940625,0
1996-04-15,0.044,7.5182291667,0
1996-04-16,0.039,9.7677083333,0
1996-04-17,0.039,11.634375,0
1996-04-18,0.039,13.2875,0
1996-04-19,0.039,15.0005208333,0
1996-04-20,0.039,16.4234375,0
1996-04-21,0.039,18.1817708333,0
1996-04-22,0.035,19.0354166667,0
1996-04-23,0.033,17.3130208333,0
1996-04-24,0.033,15.0572916667,0
1996-04-25,0.039,12.7177083333,0
1996-04-26,0.033,11.9411458333,0
1996-04-27,0.033,11.9578125,0
1996-04-28,0.033,11.6583333333,0
1996-04-29,0.033,11.3578125,0
1996-04-30,0.033,10.903125,0
1996-05-01,0.033,10.7427083333,0
1996-05-02,0.033,11.1130208333,0
1996-05-03,0.044,10.3541666667,0
1996-05-04,0.044,8.7015625,0
1996-05-05,0.049,8.0979166667,0
1996-05-06,0.044,7.89375,0
1996-05-07,0.044,8.3786458333,0
1996-05-08,0.044,9.0869791667,0
1996-05-09,0.044,8.8453125,0
1996-05-10,0.044,8.5166666667,0
1996-05-11,0.044,8.6078125,0
1996-05-12,0.039,8.621875,0
