time,flow,temp,salt
1996-01-01,0.539,0.1,0
1996-01-02,0.513,0.6932291667,0
1996-01-03,0.473,0.6765625,0
1996-01-04,0.424,0.1,0
1996-01-05,0.424,0.1,0
1996-01-06,0.424,0.1,0
1996-01-07,0.424,0.5213541667,0
1996-01-08,0.447,2.2526041667,0
1996-01-09,0.424,4.4682291667,0
1996-01-10,0.447,4.7911458333,0
1996-01-11,0.447,5.6260416667,0
1996-01-12,0.424,6.2640625,0
1996-01-13,0.424,5.678125,0
1996-01-14,0.424,5.0947916667,0
1996-01-15,0.408,3.3864583333,0
1996-01-16,0.408,1.5270833333,0
1996-01-17,0.408,0.5432291667,0
1996-01-18,0.408,0.1,0
1996-01-19,0.399,0.1,0
1996-01-20,0.397,0.1,0
1996-01-21,0.397,0.1,0
1996-01-22,0.397,0.1,0
1996-01-23,0.397,0.1,0
1996-01-24,0.397,0.1,0
1996-01-25,0.389,0.1,0
1996-01-26,0.379,0.1,0
1996-01-27,0.397,0.1,0
1996-01-28,0.389,0.1,0
1996-01-29,0.389,0.1,0
1996-01-30,0.379,0.1,0
1996-01-31,0.389,0.1,0
1996-02-01,0.389,0.1,0
1996-02-02,0.379,0.1,0
1996-02-03,0.379,0.1,0
1996-02-04,0.379,0.1,0
1996-02-05,0.379,0.1,0
1996-02-06,0.379,0.1,0
1996-02-07,0.408,0.1,0
1996-02-08,0.379,0.1,0
1996-02-09,0.387,0.1,0
1996-02-10,0.367,0.3020833333,0
1996-02-11,0.367,2.1338541667,0
1996-02-12,0.484,2.709375,0
1996-02-13,1.157,2.4604166667,0
1996-02-14,0.814,1.3817708333,0
1996-02-15,0.481,1.3864583333,0
1996-02-16,0.427,2.2536458333,0
1996-02-17,3.202,2.9515625,0
1996-02-18,2.234,3.6041666667,0
1996-02-19,4.413,2.5411458333,0
1996-02-20,3.11,0.2302083333,0
1996-02-21,1.942,0.1,0
1996-02-22,1.324,0.1,0
1996-02-23,1.017,0.1,0
1996-02-24,0.847,0.1,0
1996-02-25,0.666,3.1239583333,0
1996-02-26,1.872,5.3869791667,0
1996-02-27,3.372,6.509375,0
1996-02-28,2.076,4.9734375,0
1996-02-29,1.378,3.0557291667,0
1996-03-01,0.956,1.3911458333,0
1996-03-02,0.807,0.4302083333,0
1996-03-03,0.705,0.1,0
1996-03-04,0.604,0.4296875,0
1996-03-05,0.534,1.275,0
1996-03-06,0.507,1.8932291667,0
1996-03-07,0.507,3.0625,0
1996-03-08,0.479,3.1989583333,0
1996-03-09,0.451,3.2895833333,0
1996-03-10,0.451,1.8572916667,0
1996-03-11,0.428,0.1223958333,0
1996-03-12,0.427,0.1,0
1996-03-13,0.424,0.1,0
1996-03-14,0.424,0.4109375,0
1996-03-15,0.424,2.709375,0
1996-03-16,0.408,4.6208333333,0
1996-03-17,0.408,5.7604166667,0
1996-03-18,0.397,6.11875,0
1996-03-19,0.397,6.8880208333,0
1996-03-20,0.397,7.6322916667,0
1996-03-21,0.397,8.0411458333,0
1996-03-22,0.408,8.6317708333,0
1996-03-23,0.396,8.7083333333,0
1996-03-24,0.397,8.7614583333,0
1996-03-25,0.397,8.3838541667,0
1996-03-26,0.389,6.5369791667,0
1996-03-27,0.389,4.7260416667,0
1996-03-28,0.389,3.1145833333,0
1996-03-29,0.389,1.8854166667,0
1996-03-30,0.397,1.5380208333,0
1996-03-31,0.397,1.2703125,0
1996-04-01,0.398,0.7109375,0
1996-04-02,0.397,0.9182291667,0
1996-04-03,0.398,1.9192708333,0
1996-04-04,0.397,3.4140625,0
1996-04-05,0.389,5.9151041667,0
1996-04-06,0.397,8.2395833333,0
1996-04-07,0.397,8.75,0
1996-04-08,0.397,9.41875,0
1996-04-09,0.389,9.7588541667,0
1996-04-10,0.389,9.1109375,0
1996-04-11,0.389,8.7802083333,0
1996-04-12,0.396,7.6125,0
1996-04-13,0.389,6.2505208333,0
1996-04-14,0.389,5.940625,0
1996-04-15,0.389,7.5182291667,0
1996-04-16,0.379,9.7677083333,0
1996-04-17,0.379,11.634375,0
1996-04-18,0.379,13.2875,0
1996-04-19,0.379,15.0005208333,0
1996-04-20,0.379,16.4234375,0
1996-04-21,0.379,18.1817708333,0
1996-04-22,0.371,19.0354166667,0
1996-04-23,0.367,17.3130208333,0
1996-04-24,0.367,15.0572916667,0
1996-04-25,0.379,12.7177083333,0
1996-04-26,0.367,11.9411458333,0
1996-04-27,0.366,11.9578125,0
1996-04-28,0.366,11.6583333333,0
1996-04-29,0.366,11.3578125,0
1996-04-30,0.366,10.903125,0
1996-05-01,0.366,10.7427083333,0
1996-05-02,0.366,11.1130208333,0
1996-05-03,0.388,10.3541666667,0
1996-05-04,0.388,8.7015625,0
1996-05-05,0.396,8.0979166667,0
1996-05-06,0.388,7.89375,0
1996-05-07,0.388,8.3786458333,0
1996-05-08,0.388,9.0869791667,0
1996-05-09,0.388,8.8453125,0
1996-05-10,0.388,8.5166666667,0
1996-05-11,0.388,8.6078125,0
1996-05-12,0.378,8.621875,0
1996-05-13,0.378,9.4286458333,0
1996-05-14,0.378,9.6677083333,0
1996-05-15,0.388,9.8494791667,0
1996-05-16,0.388,11.428125,0
1996-05-17,0.388,12.3291666667,0
1996-05-18,0.396,13.0119791667,0
1996-05-19,0.388,13.44375,0
1996-05-20,0.388,12.2291666667,0
1996-05-21,0.388,11.5963541667,0
1996-05-22,0.407,11.7135416667,0
1996-05-23,0.396,13.2098958333,0
1996-05-24,0.407,14.0104166667,0
1996-05-25,0.396,14.2494791667,0
1996-05-26,0.472,14.0015625,0
1996-05-27,0.472,12.1244791667,0
1996-05-28,0.693,12.7052083333,0
