time,flow,temp,salt,TRC_tr1
1996-01-01,0.239,0.1,0,0.0
1996-01-02,0.213,0.6932291667,0,0.0
1996-01-03,0.173,0.6765625,0,0.0
1996-01-04,0.124,0.1,0,0.0
1996-01-05,0.124,0.1,0,0.0
1996-01-06,0.124,0.1,0,0.0
1996-01-07,0.124,0.5213541667,0,0.0
1996-01-08,0.147,2.2526041667,0,0.0
1996-01-09,0.124,4.4682291667,0,0.0
1996-01-10,0.147,4.7911458333,0,0.0
1996-01-11,0.147,5.6260416667,0,0.0
1996-01-12,0.124,6.2640625,0,0.0
1996-01-13,0.124,5.678125,0,0.0
1996-01-14,0.124,5.0947916667,0,0.0
1996-01-15,0.108,3.3864583333,0,0.0
1996-01-16,0.108,1.5270833333,0,0.0
1996-01-17,0.108,0.5432291667,0,0.0
1996-01-18,0.108,0.1,0,0.0
1996-01-19,0.099,0.1,0,0.0
1996-01-20,0.097,0.1,0,0.0
1996-01-21,0.097,0.1,0,0.0
1996-01-22,0.097,0.1,0,0.0
1996-01-23,0.097,0.1,0,0.0
1996-01-24,0.097,0.1,0,0.0
1996-01-25,0.089,0.1,0,0.0
1996-01-26,0.079,0.1,0,0.0
1996-01-27,0.097,0.1,0,0.0
1996-01-28,0.089,0.1,0,0.0
1996-01-29,0.089,0.1,0,0.0
1996-01-30,0.079,0.1,0,0.0
1996-01-31,0.089,0.1,0,0.0
1996-02-01,0.089,0.1,0,0.0
1996-02-02,0.079,0.1,0,0.0
1996-02-03,0.079,0.1,0,0.0
1996-02-04,0.079,0.1,0,0.0
1996-02-05,0.079,0.1,0,0.0
1996-02-06,0.079,0.1,0,0.0
1996-02-07,0.108,0.1,0,0.0
1996-02-08,0.079,0.1,0,0.0
1996-02-09,0.087,0.1,0,0.0
1996-02-10,0.067,0.3020833333,0,0.0
1996-02-11,0.067,2.1338541667,0,0.0
1996-02-12,0.184,2.709375,0,0.0
1996-02-13,0.857,2.4604166667,0,0.0
1996-02-14,0.514,1.3817708333,0,0.0
1996-02-15,0.181,1.3864583333,0,0.0
1996-02-16,0.127,2.2536458333,0,0.0
1996-02-17,2.902,2.9515625,0,0.0
1996-02-18,1.934,3.6041666667,0,0.0
1996-02-19,4.113,2.5411458333,0,0.0
1996-02-20,2.81,0.2302083333,0,0.0
1996-02-21,1.642,0.1,0,0.0
1996-02-22,1.024,0.1,0,0.0
1996-02-23,0.717,0.1,0,0.0
1996-02-24,0.547,0.1,0,0.0
1996-02-25,0.366,3.1239583333,0,0.0
1996-02-26,1.572,5.3869791667,0,0.0
1996-02-27,3.072,6.509375,0,0.0
1996-02-28,1.776,4.9734375,0,0.0
1996-02-29,1.078,3.0557291667,0,0.0
1996-03-01,0.656,1.3911458333,0,0.0
1996-03-02,0.507,0.4302083333,0,0.0
1996-03-03,0.405,0.1,0,0.0
1996-03-04,0.304,0.4296875,0,0.0
1996-03-05,0.234,1.275,0,0.0
1996-03-06,0.207,1.8932291667,0,0.0
1996-03-07,0.207,3.0625,0,0.0
1996-03-08,0.179,3.1989583333,0,0.0
1996-03-09,0.151,3.2895833333,0,0.0
1996-03-10,0.151,1.8572916667,0,0.0
1996-03-11,0.128,0.1223958333,0,0.0
1996-03-12,0.127,0.1,0,0.0
1996-03-13,0.124,0.1,0,0.0
1996-03-14,0.124,0.4109375,0,0.0
1996-03-15,0.124,2.709375,0,0.0
1996-03-16,0.108,4.6208333333,0,0.0
1996-03-17,0.108,5.7604166667,0,0.0
1996-03-18,0.097,6.11875,0,0.0
1996-03-19,0.097,6.8880208333,0,0.0
1996-03-20,0.097,7.6322916667,0,0.0
1996-03-21,0.097,8.0411458333,0,0.0
1996-03-22,0.108,8.6317708333,0,0.0
1996-03-23,0.096,8.7083333333,0,0.0
1996-03-24,0.097,8.7614583333,0,0.0
1996-03-25,0.097,8.3838541667,0,0.0
1996-03-26,0.089,6.5369791667,0,0.0
1996-03-27,0.089,4.7260416667,0,0.0
1996-03-28,0.089,3.1145833333,0,0.0
1996-03-29,0.089,1.8854166667,0,0.0
1996-03-30,0.097,1.5380208333,0,0.0
1996-03-31,0.097,1.2703125,0,0.0
1996-04-01,0.098,0.7109375,0,0.0
1996-04-02,0.097,0.9182291667,0,0.0
1996-04-03,0.098,1.9192708333,0,0.0
1996-04-04,0.097,3.4140625,0,0.0
1996-04-05,0.089,5.9151041667,0,0.0
1996-04-06,0.097,8.2395833333,0,0.0
1996-04-07,0.097,8.75,0,0.0
1996-04-08,0.097,9.41875,0,0.0
1996-04-09,0.089,9.7588541667,0,0.0
1996-04-10,0.089,9.1109375,0,0.0
1996-04-11,0.089,8.7802083333,0,0.0
1996-04-12,0.096,7.6125,0,0.0
1996-04-13,0.089,6.2505208333,0,0.0
1996-04-14,0.089,5.940625,0,0.0
1996-04-15,0.089,7.5182291667,0,0.0
1996-04-16,0.079,9.7677083333,0,0.0
1996-04-17,0.079,11.634375,0,0.0
1996-04-18,0.079,13.2875,0,0.0
1996-04-19,0.079,15.0005208333,0,0.0
1996-04-20,0.079,16.4234375,0,0.0
1996-04-21,0.079,18.1817708333,0,0.0
1996-04-22,0.071,19.0354166667,0,0.0
1996-04-23,0.067,17.3130208333,0,0.0
1996-04-24,0.067,15.0572916667,0,0.0
1996-04-25,0.079,12.7177083333,0,0.0
1996-04-26,0.067,11.9411458333,0,0.0
1996-04-27,0.066,11.9578125,0,0.0
1996-04-28,0.066,11.6583333333,0,0.0
1996-04-29,0.066,11.3578125,0,0.0
1996-04-30,0.066,10.903125,0,0.0
1996-05-01,0.066,10.7427083333,0,0.0
1996-05-02,0.066,11.1130208333,0,0.0
1996-05-03,0.088,10.3541666667,0,0.0
1996-05-04,0.088,8.7015625,0,0.0
1996-05-05,0.096,8.0979166667,0,0.0
1996-05-06,0.088,7.89375,0,0.0
1996-05-07,0.088,8.3786458333,0,0.0
1996-05-08,0.088,9.0869791667,0,0.0
1996-05-09,0.088,8.8453125,0,0.0
1996-05-10,0.088,8.5166666667,0,0.0
1996-05-11,0.088,8.6078125,0,0.0
1996-05-12,0.078,8.621875,0,0.0
1996-05-13,0.078,9.4286458333,0,0.0
1996-05-14,0.078,9.6677083333,0,0.0
1996-05-15,0.088,9.8494791667,0,0.0
1996-05-16,0.088,11.428125,0,0.0
1996-05-17,0.088,12.3291666667,0,0.0
1996-05-18,0.096,13.0119791667,0,0.0
1996-05-19,0.088,13.44375,0,0.0
1996-05-20,0.088,12.2291666667,0,0.0
1996-05-21,0.088,11.5963541667,0,0.0
1996-05-22,0.107,11.7135416667,0,0.0
1996-05-23,0.096,13.2098958333,0,0.0
1996-05-24,0.107,14.0104166667,0,0.0
1996-05-25,0.096,14.2494791667,0,0.0
1996-05-26,0.172,14.0015625,0,0.0
1996-05-27,0.172,12.1244791667,0,0.0
1996-05-28,0.393,12.7052083333,0,0.0
1996-05-29,0.307,14.7291666667,0,0.0
1996-05-30,0.28,16.928125,0,0.0
1996-05-31,0.228,17.6130208333,0,0.0
1996-06-01,0.187,16.5453125,0,0.0
1996-06-02,0.173,15.0895833333,0,0.0
1996-06-03,0.147,14.2015625,0,0.0
1996-06-04,0.147,16.01875,0,0.0
1996-06-05,0.108,19.0104166667,0,0.0
1996-06-06,0.108,21.540625,0,0.0
1996-06-07,0.097,23.3520833333,0,0.0
1996-06-08,0.098,23.1755208333,0,0.0
1996-06-09,0.124,22.4739583333,0,0.0
1996-06-10,0.089,21.7479166667,0,0.0
1996-06-11,0.088,20.1838541667,0,0.0
1996-06-12,0.078,18.6182291667,0,0.0
1996-06-13,0.078,16.6265625,0,0.0
1996-06-14,0.078,14.746875,0,0.0
1996-06-15,0.078,14.21875,0,0.0
1996-06-16,0.066,15.4557291667,0,0.0
1996-06-17,0.066,16.7473958333,0,0.0
1996-06-18,0.055,16.3453125,0,0.0
1996-06-19,0.053,15.0015625,0,0.0
1996-06-20,0.066,13.5197916667,0,0.0
1996-06-21,0.078,11.8583333333,0,0.0
1996-06-22,0.066,11.6515625,0,0.0
1996-06-23,0.107,12.0609375,0,0.0
1996-06-24,0.078,12.2895833333,0,0.0
1996-06-25,0.066,13.1671875,0,0.0
1996-06-26,0.066,13.6458333333,0,0.0
1996-06-27,0.053,15.1119791667,0,0.0
1996-06-28,0.064,15.1734375,0,0.0
1996-06-29,0.053,14.90625,0,0.0
1996-06-30,0.088,14.9973958333,0,0.0
1996-07-01,0.097,13.7510416667,0,0.0
1996-07-02,0.103,14.6854166667,0,0.0
1996-07-03,0.108,15.6994791667,0,0.0
1996-07-04,0.089,15.6510416667,0,0.0
1996-07-05,0.114,15.7317708333,0,0.0
1996-07-06,0.153,14.8348958333,0,0.0
1996-07-07,0.149,13.6729166667,0,0.0
1996-07-08,0.126,13.5255208333,0,0.0
1996-07-09,0.11,13.7791666667,0,0.0
1996-07-10,0.109,14.840625,0,0.0
1996-07-11,0.148,16.4515625,0,0.0
1996-07-12,0.158,17.6015625,0,0.0
1996-07-13,0.125,18.6661458333,0,0.0
1996-07-14,0.109,18.8671875,0,0.0
1996-07-15,0.109,17.5369791667,0,0.0
1996-07-16,0.097,16.7125,0,0.0
1996-07-17,0.097,15.5296875,0,0.0
1996-07-18,0.089,14.9223958333,0,0.0
1996-07-19,0.089,15.7265625,0,0.0
1996-07-20,0.079,16.9869791667,0,0.0
1996-07-21,0.079,18.8151041667,0,0.0
1996-07-22,0.079,20.0479166667,0,0.0
1996-07-23,0.067,19.4994791667,0,0.0
1996-07-24,0.067,18.4572916667,0,0.0
1996-07-25,0.124,17.2510416667,0,0.0
1996-07-26,0.156,16.609375,0,0.0
1996-07-27,0.107,17.4104166667,0,0.0
1996-07-28,0.098,18.1958333333,0,0.0
1996-07-29,0.092,18.64375,0,0.0
1996-07-30,0.089,18.7192708333,0,0.0
1996-07-31,0.078,18.9921875,0,0.0
1996-08-01,0.078,18.5786458333,0,0.0
1996-08-02,0.078,18.1223958333,0,0.0
1996-08-03,0.066,17.5541666667,0,0.0
1996-08-04,0.066,17.2380208333,0,0.0
1996-08-05,0.053,17.4552083333,0,0.0
1996-08-06,0.053,17.7390625,0,0.0
1996-08-07,0.053,17.840625,0,0.0
1996-08-08,0.053,18.79375,0,0.0
1996-08-09,0.053,19.7359375,0,0.0
1996-08-10,0.046,20,0,0.0
1996-08-11,0.078,19.7286458333,0,0.0
1996-08-12,0.078,18.2765625,0,0.0
1996-08-13,0.21,17.0572916667,0,0.0
1996-08-14,0.116,16.4447916667,0,0.0
1996-08-15,0.094,16.4947916667,0,0.0
1996-08-16,0.113,16.5057291667,0,0.0
1996-08-17,0.095,17.171875,0,0.0
1996-08-18,0.094,18.68125,0,0.0
1996-08-19,0.084,20.3796875,0,0.0
1996-08-20,0.082,20.8875,0,0.0
1996-08-21,0.072,20.5223958333,0,0.0
1996-08-22,0.072,19.6880208333,0,0.0
1996-08-23,0.629,18.2114583333,0,0.0
1996-08-24,0.339,17.6447916667,0,0.0
1996-08-25,0.259,16.984375,0,0.0
1996-08-26,0.205,16.2572916667,0,0.0
1996-08-27,0.148,15.4171875,0,0.0
1996-08-28,0.125,14.653125,0,0.0
1996-08-29,0.249,14.4177083333,0,0.0
1996-08-30,10.964,13.7520833333,0,0.0
1996-08-31,7.169,13.3609375,0,0.0
1996-09-01,3.932,13.4697916667,0,0.0
1996-09-02,2.341,13.4520833333,0,0.0
1996-09-03,1.25,13.8744791667,0,0.0
1996-09-04,0.739,14.4369791667,0,0.0
1996-09-05,0.504,13.9473958333,0,0.0
1996-09-06,0.35,12.8614583333,0,0.0
1996-09-07,0.243,11.8229166667,0,0.0
1996-09-08,0.209,10.915625,0,0.0
1996-09-09,0.178,11.0182291667,0,0.0
1996-09-10,0.146,11.4932291667,0,0.0
1996-09-11,0.147,11.5635416667,0,0.0
1996-09-12,0.124,11.5166666667,0,0.0
1996-09-13,0.239,11.8401041667,0,0.0
1996-09-14,0.253,11.821875,0,0.0
1996-09-15,0.2,11.5822916667,0,0.0
1996-09-16,0.2,11.3838541667,0,0.0
1996-09-17,0.2,10.7020833333,0,0.0
1996-09-18,0.172,10.7708333333,0,0.0
1996-09-19,0.172,10.8692708333,0,0.0
1996-09-20,0.146,11.1265625,0,0.0
1996-09-21,0.146,11.0776041667,0,0.0
1996-09-22,0.146,10.6890625,0,0.0
1996-09-23,0.123,10.7473958333,0,0.0
1996-09-24,0.123,11.0223958333,0,0.0
1996-09-25,0.123,11.6057291667,0,0.0
1996-09-26,0.123,12.2510416667,0,0.0
1996-09-27,0.107,12.8760416667,0,0.0
1996-09-28,0.253,13.3489583333,0,0.0
1996-09-29,0.173,14.4317708333,0,0.0
1996-09-30,0.173,13.9234375,0,0.0
1996-10-01,0.201,13.0505208333,0,0.0
1996-10-02,2.201,12.053125,0,0.0
1996-10-03,2.271,10.575,0,0.0
1996-10-04,1.344,10.0213541667,0,0.0
1996-10-05,0.841,9.5828125,0,0.0
1996-10-06,0.675,9.475,0,0.0
1996-10-07,0.455,9.4625,0,0.0
1996-10-08,0.379,9.7421875,0,0.0
1996-10-09,0.311,10.3953125,0,0.0
1996-10-10,0.267,10.9135416667,0,0.0
1996-10-11,0.233,11.0708333333,0,0.0
1996-10-12,0.206,11.90625,0,0.0
1996-10-13,0.205,12.6942708333,0,0.0
1996-10-14,0.177,13.0765625,0,0.0
1996-10-15,0.176,12.4875,0,0.0
1996-10-16,0.2,11.2447916667,0,0.0
1996-10-17,0.2,9.8416666667,0,0.0
1996-10-18,0.172,9.1645833333,0,0.0
1996-10-19,0.172,9.6541666667,0,0.0
1996-10-20,0.2,10.628125,0,0.0
1996-10-21,0.466,10.8125,0,0.0
1996-10-22,2.99,10.4015625,0,0.0
1996-10-23,2.002,9.95,0,0.0
1996-10-24,1.278,9.3380208333,0,0.0
1996-10-25,0.82,9.7578125,0,0.0
1996-10-26,0.62,10.1260416667,0,0.0
1996-10-27,0.467,11.1348958333,0,0.0
1996-10-28,3.409,11.3572916667,0,0.0
1996-10-29,2.093,10.7359375,0,0.0
1996-10-30,2.11,10.425,0,0.0
1996-10-31,1.818,9.7375,0,0.0
1996-11-01,2.563,10.2916666667,0,0.0
1996-11-02,4.805,11.6020833333,0,0.0
1996-11-03,3.15,12.6067708333,0,0.0
1996-11-04,2.243,12.559375,0,0.0
1996-11-05,1.89,11.821875,0,0.0
1996-11-06,1.483,10.8125,0,0.0
1996-11-07,1.503,9.3848958333,0,0.0
1996-11-08,2.836,8.7661458333,0,0.0
1996-11-09,2.984,8.0864583333,0,0.0
1996-11-10,2.135,8.06875,0,0.0
1996-11-11,1.63,8.5296875,0,0.0
1996-11-12,1.177,8.0484375,0,0.0
